지역별,성별,1종_대형,1종_보통,1종_소형,1종_대형견인,1종_소형견인,1종_구난,2종_보통,2종_소형,2종_원자
서울,남,252789,2468340,53,24599,7997,14646,1567068,138092,198853
서울,여,9043,799130,0,234,513,106,2489574,5824,11079
부산,남,135170,922068,15,37908,3518,8581,381927,46967,78043
부산,여,3707,305555,0,286,164,59,712230,1194,4661
대구,남,115715,747430,14,12883,4165,5894,209604,38382,73995
대구,여,3391,308758,0,92,284,34,515294,1027,6747
인천,남,160803,922123,4,24361,4559,7816,385384,43527,72539
인천,여,5388,310424,0,245,267,57,707898,1501,3939
광주,남,53159,425816,0,9849,2116,3837,136399,16189,35004
광주,여,3078,181135,0,69,170,23,307633,483,2171
대전,남,68386,436040,1,8877,3304,4396,173687,20864,39878
대전,여,2198,173791,0,82,175,28,337728,785,3182
울산,남,62810,365083,3,10812,1452,2953,119260,20457,31736
울산,여,2105,141484,0,83,72,22,249570,430,2222
세종,남,17601,114061,1,2200,1247,1004,41183,5372,9662
세종,여,755,48400,0,22,90,7,94762,185,1117
경기남부,남,453027,3110849,14,53036,17457,27914,1437810,152935,233088
경기남부,여,15633,1026891,0,478,1079,167,2546959,5936,12532
경기북부,남,185935,1066915,16,18418,5898,10793,520222,63130,94061
경기북부,여,6808,371179,0,195,393,101,915645,2421,4617
강원,남,106068,480144,4,12183,4329,6978,185401,26103,64350
강원,여,3278,196198,0,128,226,71,340430,722,4794
충북,남,105353,517937,4,15071,3588,6668,194657,28403,67259
충북,여,3400,195816,0,138,205,20,353629,864,8635
충남,남,146195,677930,1,19760,5654,8472,257387,39150,96124
충남,여,4511,241601,0,178,355,54,445907,1242,14233
전북,남,130416,532891,2,17814,2393,5321,196973,22680,70839
전북,여,3806,212193,0,171,150,30,363360,593,8106
전남,남,138654,543524,0,24069,3101,5767,190825,22357,78652
전남,여,4671,205878,0,215,165,36,333847,533,10702
경북,남,172239,835590,7,27346,6001,10437,208536,42628,125613
경북,여,4239,371680,0,173,371,48,427232,1035,18731
경남,남,187260,1006439,10,31883,4645,9795,380161,49539,123934
경남,여,5987,383041,0,356,184,57,685041,1138,18393
제주,남,46276,207927,2,3065,1463,2105,79749,10210,21143
제주,여,1560,103073,0,24,57,13,155254,407,4059
