지역,65세 미만,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세 이상
서울특별시,190,60,73,80,115,169,1320,1971,1456,1605,1638,1981,2440,1809,1302,1367,1510,1810,1265,945,776,730,549,374,235,161,264
부산광역시,87,236,299,305,359,387,582,818,736,725,721,806,917,606,424,466,543,612,404,296,245,217,165,97,53,44,46
경기도남부,178,241,302,352,411,442,772,1190,878,1019,1083,1251,1463,1132,831,892,1017,1139,823,644,579,529,423,250,187,132,228
강원특별자치도,47,40,50,63,78,70,135,205,154,159,175,200,258,192,198,171,228,218,188,159,181,142,135,93,44,40,66
충청북도,33,7,20,15,21,29,104,184,112,142,155,173,221,159,141,152,196,215,177,127,133,110,115,81,41,22,41
충청남도,50,13,15,19,12,18,149,158,166,173,185,235,290,194,143,187,198,283,201,162,179,143,130,109,91,48,75
전북특별자치도,27,3,12,11,26,27,176,262,218,279,248,273,341,274,187,204,233,364,248,195,188,172,167,100,84,47,85
전라남도,31,6,10,8,16,46,111,195,177,185,200,234,268,209,163,192,208,279,178,160,161,140,109,87,60,46,64
경상북도,54,22,38,33,35,51,212,266,231,193,269,346,339,264,189,255,351,399,257,212,259,206,153,126,72,57,91
경상남도,74,51,40,56,66,76,306,453,355,347,376,439,468,341,256,268,321,353,266,209,170,147,114,89,57,30,52
제주특별자치도,18,13,23,21,31,17,50,70,47,69,62,73,90,72,52,74,71,82,85,53,51,58,54,33,20,15,18
대구광역시,49,66,103,118,183,138,273,423,320,300,384,406,480,299,187,255,333,354,226,217,198,162,130,92,49,40,48
인천광역시,85,20,29,28,30,39,384,562,356,407,442,491,569,422,301,267,323,408,256,184,148,130,103,84,37,29,51
광주광역시,20,4,6,6,16,25,115,200,154,171,193,173,230,170,131,109,119,197,123,99,80,75,66,49,23,18,27
대전광역시,50,46,53,73,74,102,120,196,156,194,147,193,218,174,135,147,151,226,157,95,113,93,61,57,20,23,31
울산광역시,24,13,37,31,32,40,77,106,109,105,94,118,130,89,60,85,111,100,69,63,44,38,29,12,13,9,8
경기도북부,63,110,141,157,208,220,309,480,374,411,448,507,661,559,372,411,496,497,387,289,290,261,234,136,93,61,96
세종특별자치시,4,0,0,1,1,3,11,6,17,11,13,18,23,10,10,9,19,24,15,9,8,9,5,5,7,3,4
