"울산",763906,512999,60276,452626,0,65,21,11,250907,246743,191,3973,765854,510852,61297,449442,0,63,38,12,255002,250928,210,3864,766884,508799,62039,446620,0,69,60,11,258085,254254,247,3584,770128,508324,63048,445117,-,72,74,13,261804,258031,266,3507,773774,509991,63922,445892,0,75,90,12,263783,260080,278,3425
"세종",229812,145901,15718,130144,0,10,24,5,83911,82092,28,1791,244278,153311,16618,136632,0,12,41,8,90967,89216,33,1718,255165,158540,17200,141266,0,12,50,12,96625,94976,39,1610,259011,159627,17556,141991,-,12,57,11,99384,97860,44,1480,263536,161975,18049,143837,0,11,68,10,101561,100278,36,1247
"경기남부",6565646,3965488,421589,3542943,1,304,410,241,2600158,2570810,1699,27649,6760037,4036764,433903,3601690,1,311,578,281,2723273,2694825,1901,26547,6889758,4068776,441642,3625691,1,319,811,312,2820982,2794170,2072,24740,6987609,4088070,450400,3635954,1,328,1055,332,2899539,2874450,2228,22861,7089181,4127784,459550,3666181,2,341,1381,329,2961397,2937639,2516,21242
"경기북부",2242315,1367334,171537,1195407,1,70,252,67,874981,864319,636,10026,2313362,1396608,176691,1219469,1,72,310,65,916754,906598,689,9467,2356752,1410697,179996,1230174,1,72,369,85,946055,936573,744,8738,2388536,1419563,184247,1234722,1,79,418,96,968973,960105,784,8084,2425202,1438520,188626,1249230,2,93,472,97,986682,978480,861,7341
"강원",982588,668752,101345,567307,0,30,56,14,313836,302917,263,10656,1000579,675622,103515,571985,0,33,74,15,324957,314909,269,9779,1014928,681272,105575,575556,0,34,89,18,333656,324501,269,8886,1021443,682431,107092,575172,-,38,106,23,339012,330763,276,7973,1024768,684170,108252,575749,0,36,112,21,340598,333192,314,7092
"충북",1030168,689267,98367,590760,0,78,41,21,340901,325441,268,15192,1049588,696835,100886,595789,0,80,58,22,352753,338287,315,14151,1066715,703842,103083,600567,0,84,80,28,362873,349593,334,12946,1079922,707994,104997,602783,-,89,87,38,371928,359730,362,11836,1090984,714158,106874,607059,0,84,98,43,376826,365951,371,10504
"충남",1349739,883245,133854,749134,0,105,119,33,466494,438862,418,27214,1377039,895100,137347,757433,0,109,169,42,481939,456091,456,25392,1404674,907582,140932,766277,0,110,218,45,497092,473322,486,23284,1431984,919015,144347,774254,-,121,238,55,512969,491290,536,21143,1456307,931856,147787,783588,0,124,296,61,524451,505373,565,18513
"전북",1119264,753204,124761,628303,1,85,32,22,366060,345715,330,20015,1131340,757854,127228,630475,0,80,41,30,373486,354788,354,18344,1138771,759878,129166,630531,0,84,70,27,378893,362085,376,16432,1144579,760645,131155,629292,-,81,90,27,383934,368826,389,14719,1147153,762344,132740,629387,0,81,106,30,384809,371565,412,12832
"전남",1111929,749916,131888,617775,0,175,33,45,362013,335005,287,26721,1126082,756412,134513,621630,0,170,53,46,369670,344452,300,24918,1138060,761860,136978,624601,0,165,69,47,376200,353061,329,22810,1147138,765899,139067,626533,-,175,80,44,381239,360487,338,20414,1152681,769888,141129,628421,0,180,113,45,382793,364799,353,17641
"경북",1691921,1233704,165374,1067965,0,196,114,55,458217,424656,470,33091,1714805,1242371,169210,1072761,0,189,151,60,472434,441085,519,30830,1722813,1242957,171868,1070658,0,188,177,66,479856,451282,559,28015,1728603,1242119,174071,1067544,-,201,234,69,486484,460691,560,25233,1717097,1232355,174763,1057068,0,196,258,70,484742,462388,602,21752
"경남",2114108,1400863,179954,1220412,0,343,70,84,713245,682376,666,30203,2135625,1406476,183721,1222205,0,376,92,82,729149,700091,721,28337,2146497,1406165,186067,1219493,0,397,122,86,740332,713281,754,26297,2153471,1403069,188318,1214122,-,405,140,84,750402,725518,751,24133,2163766,1405626,190922,1214035,0,433,154,82,758140,735414,803,21923
"제주",458149,305057,44620,260405,0,10,13,9,153092,147372,90,5630,468072,309340,45508,263788,0,9,27,8,158732,153166,110,5456,475628,312837,46405,266378,0,10,34,10,162791,157567,138,5086,478409,313346,46914,266374,-,9,38,11,165063,160165,148,4750,479642,314207,47443,266701,0,9,41,13,165435,161217,163,4055
