"지역별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"지역별(1)",총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종
"지역별(1)",소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자
"계",33190565,20761622,2454730,18301557,10,2707,1742,876,12428943,12128310,11401,289232,33729806,20896637,2504069,18386385,8,2787,2422,966,12833169,12548292,12396,272481,34133763,20963851,2540135,18416676,8,2869,3115,1048,13169912,12905250,13281,251381,34436680,20981403,2577370,18396119,7,2984,3827,1096,13455277,13210345,14032,230900,34707289,21073706,2615396,18449435,9,3057,4694,1115,13633583,13409225,15074,209284
"서울",6215889,3364593,261110,3102999,2,165,227,90,2851296,2812318,3554,35424,6248341,3332370,260650,3071105,1,165,350,99,2915971,2878214,3813,33944,6284511,3308155,259990,3047498,1,168,402,96,2976356,2940374,4044,31938,6315834,3280259,260032,3019470,1,166,497,93,3035575,3001151,4237,30187,6332419,3265660,260853,3003947,1,164,612,83,3066759,3033632,4486,28641
"부산",2005780,1249397,132862,1115745,3,692,53,42,756383,742257,937,13189,2021875,1247396,134592,1111963,3,724,70,44,774479,760760,1031,12688,2030708,1242347,135965,1105497,3,755,77,50,788361,775411,1105,11845,2033062,1234902,137075,1096883,2,809,88,45,798160,785798,1202,11160,2031713,1231613,137965,1092675,2,826,96,49,800100,788221,1262,10617
"대구",1574219,1061179,111009,950024,0,51,73,22,513040,502125,570,10345,1576846,1056096,112456,943471,0,54,92,23,520750,510347,606,9797,1580373,1052580,113419,938953,0,54,132,22,527793,518182,623,8988,1584434,1050251,114852,935128,-,53,194,24,534183,525224,651,8308,1602105,1061869,117750,943756,0,58,279,26,540236,531322,687,8227
"인천",1860442,1181989,152500,1029103,2,241,86,57,678453,669715,527,8211,1899077,1191837,155070,1036326,2,254,124,61,707240,698976,559,7705,1949189,1206656,157387,1048797,2,261,145,64,742533,734749,598,7186,1990978,1218824,160226,1058097,2,262,172,65,772154,764848,650,6656,2026026,1232533,162951,1069028,2,265,220,67,793493,786539,709,6245
"광주",935140,622181,81880,540182,0,45,46,28,312959,308117,191,4651,947538,625249,83695,541413,0,43,63,35,322289,317603,195,4491,953872,624716,84482,540062,0,45,93,34,329156,324692,221,4243,955928,621997,85177,536637,-,43,107,33,333931,329748,243,3940,958105,621539,86154,535197,0,36,115,37,336566,332628,258,3680
"대전",939550,606553,66086,540323,0,42,72,30,332997,327470,276,5251,949468,606144,67169,538808,0,43,91,33,343324,337956,315,5053,958465,606192,67941,538057,0,42,117,35,352273,347177,343,4753,965611,605068,68796,536046,-,41,152,33,360543,355660,367,4516,972830,607618,69666,537684,0,45,183,40,365212,360507,398,4307
