지역,65세 미만,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세 이상
서울특별시,431 ,141 ,171 ,195 ,212 ,283 ,2957 ,2681 ,2382 ,2634 ,1789 ,2108 ,2084 ,2212 ,2741 ,2366 ,1635 ,1227 ,1175 ,1148 ,880 ,597 ,481 ,327 ,211 ,160 ,300 
부산광역시,136 ,358 ,413 ,406 ,556 ,580 ,777 ,762 ,724 ,874 ,595 ,842 ,970 ,891 ,1005 ,833 ,488 ,386 ,396 ,377 ,242 ,189 ,160 ,122 ,79 ,40 ,79 
경기도남부,326 ,495 ,599 ,696 ,808 ,969 ,1295 ,1365 ,1253 ,1434 ,1065 ,1173 ,1155 ,1251 ,1537 ,1428 ,976 ,752 ,676 ,784 ,484 ,398 ,318 ,223 ,160 ,126 ,236 
강원특별자치도,80 ,80 ,109 ,108 ,156 ,148 ,238 ,261 ,218 ,289 ,149 ,205 ,220 ,257 ,289 ,272 ,246 ,212 ,223 ,222 ,157 ,138 ,134 ,123 ,60 ,51 ,76 
충청북도,91 ,19 ,28 ,27 ,33 ,45 ,253 ,225 ,205 ,260 ,191 ,178 ,212 ,197 ,268 ,242 ,187 ,135 ,144 ,156 ,127 ,91 ,105 ,70 ,59 ,43 ,56 
충청남도,98 ,31 ,25 ,28 ,43 ,40 ,346 ,294 ,269 ,330 ,246 ,286 ,313 ,293 ,391 ,302 ,224 ,205 ,202 ,239 ,192 ,146 ,169 ,108 ,92 ,53 ,96 
전북특별자치도,62 ,17 ,24 ,28 ,37 ,58 ,359 ,362 ,326 ,286 ,275 ,347 ,345 ,287 ,440 ,382 ,232 ,212 ,199 ,278 ,182 ,144 ,138 ,115 ,86 ,45 ,89 
전라남도,47 ,20 ,38 ,34 ,33 ,61 ,215 ,263 ,219 ,247 ,235 ,214 ,274 ,242 ,348 ,293 ,233 ,193 ,167 ,251 ,175 ,139 ,107 ,76 ,53 ,46 ,53 
경상북도,135 ,103 ,136 ,155 ,138 ,165 ,396 ,399 ,350 ,390 ,321 ,372 ,438 ,432 ,477 ,414 ,294 ,256 ,317 ,362 ,255 ,217 ,181 ,116 ,85 ,57 ,104 
경상남도,160 ,99 ,122 ,130 ,146 ,176 ,598 ,605 ,518 ,592 ,452 ,467 ,464 ,498 ,533 ,455 ,304 ,279 ,296 ,286 ,243 ,166 ,137 ,105 ,82 ,54 ,73 
제주특별자치도,18 ,34 ,58 ,33 ,37 ,63 ,78 ,87 ,72 ,79 ,79 ,83 ,72 ,89 ,107 ,128 ,88 ,79 ,79 ,66 ,72 ,36 ,49 ,28 ,25 ,28 ,33 
대구광역시,96 ,116 ,173 ,181 ,253 ,299 ,396 ,390 ,418 ,449 ,342 ,361 ,372 ,431 ,456 ,360 ,235 ,241 ,234 ,237 ,159 ,102 ,80 ,72 ,34 ,47 ,43 
인천광역시,128 ,195 ,230 ,229 ,295 ,354 ,787 ,685 ,587 ,641 ,400 ,501 ,576 ,565 ,722 ,543 ,295 ,232 ,228 ,212 ,174 ,97 ,102 ,62 ,51 ,24 ,46 
광주광역시,27 ,43 ,62 ,50 ,76 ,92 ,200 ,219 ,200 ,227 ,164 ,192 ,210 ,207 ,222 ,239 ,187 ,125 ,92 ,129 ,93 ,53 ,42 ,37 ,31 ,10 ,23 
대전광역시,87 ,26 ,36 ,38 ,29 ,39 ,278 ,267 ,204 ,280 ,179 ,236 ,230 ,250 ,255 ,242 ,146 ,138 ,127 ,143 ,94 ,64 ,71 ,45 ,23 ,20 ,34 
울산광역시,39 ,63 ,122 ,114 ,115 ,151 ,199 ,196 ,218 ,204 ,167 ,147 ,163 ,194 ,203 ,154 ,110 ,67 ,76 ,75 ,60 ,40 ,44 ,34 ,9 ,9 ,21 
경기도북부,120 ,164 ,232 ,230 ,299 ,331 ,488 ,482 ,472 ,524 ,340 ,439 ,502 ,544 ,683 ,598 ,416 ,337 ,294 ,358 ,280 ,209 ,190 ,123 ,94 ,59 ,101 
세종특별자치시,6 ,3 ,4 ,3 ,5 ,8 ,31 ,30 ,28 ,28 ,25 ,32 ,29 ,28 ,34 ,31 ,18 ,18 ,14 ,12 ,5 ,14 ,13 ,14 ,2 ,2 ,7 
