"면허종별(1)",면허종별(2),2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024
"면허종별(1)",면허종별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"총계",소계,32649584,18936859,13712725,33190565,19142665,14047900,33729806,19334997,14394809,34133763,19466171,14667592,34436680,19559398,14877282,34707289,19640954,15066335
"1종",소계,20597365,15424865,5172500,20761622,15539530,5222092,20896637,15632879,5263758,20963851,15673787,5290064,20981403,15680367,5301036,21073706,15698397,5375309
"1종",대형,2398248,2337015,61233,2454730,2389215,65515,2504069,2433986,70083,2540135,2466626,73509,2577370,2500365,77005,2615396,2534996,80400
"1종",보통,18194473,13083544,5110929,18301557,13145503,5156054,18386385,13193473,5192912,18416676,13201121,5215555,18396119,13173272,5222847,18449435,13155858,5293577
"1종",소형,10,10,-,10,10,-,8,8,-,8,8,0,7,7,-,9,9,0
"1종",대형 견인,2626,2519,107,2707,2575,132,2787,2630,157,2869,2670,199,2984,2757,227,3057,2806,251
"1종",소형 견인,1200,991,209,1742,1375,367,2422,1842,580,3115,2345,770,3827,2905,922,4694,3647,1047
"1종",구난,808,786,22,876,852,24,966,940,26,1048,1017,31,1096,1061,35,1115,1081,34
"2종",소계,12052219,3511994,8540225,12428943,3603135,8825808,12833169,3702118,9131051,13169912,3792384,9377528,13455277,3879031,9576246,13633583,3942557,9691026
"2종",보통,11738990,3254534,8484456,12128310,3357847,8770463,12548292,3472060,9076232,12905250,3581377,9323873,13210345,3686515,9523830,13409225,3768241,9640984
"2종",소형,10588,10251,337,11401,10982,419,12396,11856,540,13281,12641,640,14032,13287,745,15074,14186,888
"2종",원자,302641,247209,55432,289232,234306,54926,272481,218202,54279,251381,198366,53015,230900,179229,51671,209284,160130,49154
